weekday_number,weekday,utc_hour,event_count
0,Monday,0,0
0,Monday,1,1
0,Monday,2,1
0,Monday,3,0
0,Monday,4,0
0,Monday,5,0
0,Monday,6,0
0,Monday,7,0
0,Monday,8,4
0,Monday,9,0
0,Monday,10,0
0,Monday,11,0
0,Monday,12,0
0,Monday,13,1
0,Monday,14,2
0,Monday,15,1
0,Monday,16,0
0,Monday,17,0
0,Monday,18,0
0,Monday,19,0
0,Monday,20,0
0,Monday,21,0
0,Monday,22,0
0,Monday,23,0
1,Tuesday,0,0
1,Tuesday,1,0
1,Tuesday,2,0
1,Tuesday,3,0
1,Tuesday,4,0
1,Tuesday,5,0
1,Tuesday,6,0
1,Tuesday,7,1
1,Tuesday,8,1
1,Tuesday,9,1
1,Tuesday,10,0
1,Tuesday,11,0
1,Tuesday,12,1
1,Tuesday,13,5
1,Tuesday,14,4
1,Tuesday,15,5
1,Tuesday,16,1
1,Tuesday,17,1
1,Tuesday,18,0
1,Tuesday,19,0
1,Tuesday,20,0
1,Tuesday,21,0
1,Tuesday,22,0
1,Tuesday,23,0
2,Wednesday,0,2
2,Wednesday,1,2
2,Wednesday,2,0
2,Wednesday,3,0
2,Wednesday,4,0
2,Wednesday,5,0
2,Wednesday,6,0
2,Wednesday,7,0
2,Wednesday,8,1
2,Wednesday,9,2
2,Wednesday,10,1
2,Wednesday,11,1
2,Wednesday,12,0
2,Wednesday,13,10
2,Wednesday,14,1
2,Wednesday,15,2
2,Wednesday,16,1
2,Wednesday,17,2
2,Wednesday,18,4
2,Wednesday,19,25
2,Wednesday,20,4
2,Wednesday,21,1
2,Wednesday,22,0
2,Wednesday,23,0
3,Thursday,0,1
3,Thursday,1,0
3,Thursday,2,0
3,Thursday,3,0
3,Thursday,4,0
3,Thursday,5,0
3,Thursday,6,0
3,Thursday,7,0
3,Thursday,8,0
3,Thursday,9,2
3,Thursday,10,0
3,Thursday,11,1
3,Thursday,12,5
3,Thursday,13,19
3,Thursday,14,13
3,Thursday,15,4
3,Thursday,16,0
3,Thursday,17,2
3,Thursday,18,0
3,Thursday,19,1
3,Thursday,20,0
3,Thursday,21,0
3,Thursday,22,1
3,Thursday,23,1
4,Friday,0,1
4,Friday,1,1
4,Friday,2,0
4,Friday,3,0
4,Friday,4,0
4,Friday,5,0
4,Friday,6,1
4,Friday,7,0
4,Friday,8,3
4,Friday,9,1
4,Friday,10,0
4,Friday,11,0
4,Friday,12,2
4,Friday,13,30
4,Friday,14,8
4,Friday,15,11
4,Friday,16,2
4,Friday,17,0
4,Friday,18,0
4,Friday,19,0
4,Friday,20,0
4,Friday,21,0
4,Friday,22,0
4,Friday,23,0
5,Saturday,0,0
5,Saturday,1,0
5,Saturday,2,0
5,Saturday,3,0
5,Saturday,4,0
5,Saturday,5,0
5,Saturday,6,0
5,Saturday,7,0
5,Saturday,8,0
5,Saturday,9,0
5,Saturday,10,0
5,Saturday,11,0
5,Saturday,12,0
5,Saturday,13,0
5,Saturday,14,0
5,Saturday,15,0
5,Saturday,16,0
5,Saturday,17,0
5,Saturday,18,0
5,Saturday,19,0
5,Saturday,20,0
5,Saturday,21,0
5,Saturday,22,0
5,Saturday,23,0
6,Sunday,0,0
6,Sunday,1,0
6,Sunday,2,0
6,Sunday,3,0
6,Sunday,4,0
6,Sunday,5,0
6,Sunday,6,0
6,Sunday,7,0
6,Sunday,8,0
6,Sunday,9,0
6,Sunday,10,0
6,Sunday,11,0
6,Sunday,12,0
6,Sunday,13,0
6,Sunday,14,0
6,Sunday,15,0
6,Sunday,16,0
6,Sunday,17,0
6,Sunday,18,0
6,Sunday,19,0
6,Sunday,20,0
6,Sunday,21,0
6,Sunday,22,0
6,Sunday,23,0
