component,k,component_type,scale_minutes,scale_days,repeat_length,effective_n,ordinal_windows,permutation_entropy,normalized_entropy,series
D_01,1,detail,5,0.003472222222222222,1,735232,735230,1.7747443476128928,0.9905036798145161,final
D_02,2,detail,10,0.006944444444444444,2,367616,367614,1.7746722237027213,0.990463426693821,final
D_03,3,detail,20,0.013888888888888888,4,183808,183806,1.7744002458660673,0.990311632972998,final
D_04,4,detail,40,0.027777777777777776,8,91904,91902,1.7741239143045253,0.99015740939205,final
D_05,5,detail,80,0.05555555555555555,16,45952,45950,1.775667600993031,0.9910189573369707,final
D_06,6,detail,160,0.1111111111111111,32,22976,22974,1.7729007884508468,0.9894747698555023,final
D_07,7,detail,320,0.2222222222222222,64,11488,11486,1.7748874257045388,0.9905835332178905,final
D_08,8,detail,640,0.4444444444444444,128,5744,5742,1.7732865543678615,0.9896900699131496,final
D_09,9,detail,1280,0.8888888888888888,256,2872,2870,1.7774038409985113,0.9919879713342726,final
D_10,10,detail,2560,1.7777777777777777,512,1436,1434,1.7758045066490757,0.9910953658384442,final
D_11,11,detail,5120,3.5555555555555554,1024,718,716,1.7714401177263621,0.9886595540022752,final
A_11,11,approximation,10240,7.111111111111111,2048,359,357,1.7891866164684487,0.998564063534312,final
