event_id,anchor_index,event_timestamp_utc,window_start_index,window_end_index,window_start_timestamp_utc,window_end_timestamp_utc,is_window_eligible,overlaps_previous,overlaps_next,overlap_event_count,overlap_cluster_id,is_overlapping
0,7099,2016-02-05 14:00:00+00:00,5659,10266,2016-01-29 13:55:00+00:00,2016-02-22 14:10:00+00:00,True,False,False,0,,False
1,12849,2016-03-04 13:30:00+00:00,11409,16016,2016-02-26 13:25:00+00:00,2016-03-21 13:40:00+00:00,True,False,True,2,0,True
2,13991,2016-03-10 12:45:00+00:00,12551,17158,2016-03-03 12:40:00+00:00,2016-03-25 12:50:00+00:00,True,True,True,3,0,True
3,15217,2016-03-16 19:00:00+00:00,13777,18384,2016-03-09 18:55:00+00:00,2016-03-31 19:05:00+00:00,True,True,True,3,0,True
4,17787,2016-03-29 17:20:00+00:00,16347,20954,2016-03-22 17:15:00+00:00,2016-04-13 17:25:00+00:00,True,True,False,2,0,True
5,22636,2016-04-21 13:40:00+00:00,21196,25803,2016-04-14 13:35:00+00:00,2016-05-06 13:45:00+00:00,True,False,False,0,,False
6,31270,2016-06-02 13:40:00+00:00,29830,34437,2016-05-26 13:35:00+00:00,2016-06-17 13:45:00+00:00,True,False,True,3,1,True
7,31556,2016-06-03 13:30:00+00:00,30116,34723,2016-05-27 13:25:00+00:00,2016-06-20 13:40:00+00:00,True,True,True,3,1,True
8,34196,2016-06-16 17:40:00+00:00,32756,37363,2016-06-09 17:35:00+00:00,2016-07-01 17:45:00+00:00,True,True,True,4,1,True
9,35714,2016-06-24 00:15:00+00:00,34274,38881,2016-06-17 00:10:00+00:00,2016-07-11 00:25:00+00:00,True,True,True,4,1,True
10,38760,2016-07-08 14:15:00+00:00,37320,41927,2016-07-01 14:10:00+00:00,2016-07-25 14:35:00+00:00,True,True,True,3,1,True
11,42568,2016-07-27 20:00:00+00:00,41128,45735,2016-07-20 19:55:00+00:00,2016-08-11 20:05:00+00:00,True,True,True,5,1,True
12,44505,2016-08-05 13:30:00+00:00,43065,47672,2016-07-29 13:25:00+00:00,2016-08-22 13:40:00+00:00,True,True,True,5,1,True
13,45945,2016-08-12 13:35:00+00:00,44505,49112,2016-08-05 13:30:00+00:00,2016-08-29 13:45:00+00:00,True,True,True,7,1,True
14,46525,2016-08-16 14:00:00+00:00,45085,49692,2016-08-09 13:55:00+00:00,2016-08-31 14:05:00+00:00,True,True,True,8,1,True
15,46876,2016-08-17 19:15:00+00:00,45436,50043,2016-08-10 19:10:00+00:00,2016-09-01 19:20:00+00:00,True,True,True,8,1,True
16,48842,2016-08-26 15:10:00+00:00,47402,52009,2016-08-19 15:05:00+00:00,2016-09-12 15:20:00+00:00,True,True,True,7,1,True
17,49995,2016-09-01 15:20:00+00:00,48555,53162,2016-08-25 15:15:00+00:00,2016-09-16 15:25:00+00:00,True,True,True,7,1,True
18,50261,2016-09-02 13:30:00+00:00,48821,53428,2016-08-26 13:25:00+00:00,2016-09-19 13:40:00+00:00,True,True,True,7,1,True
19,50854,2016-09-06 15:00:00+00:00,49414,54021,2016-08-30 14:55:00+00:00,2016-09-21 15:05:00+00:00,True,True,True,6,1,True
20,54072,2016-09-21 19:20:00+00:00,52632,57239,2016-09-14 19:15:00+00:00,2016-10-06 19:25:00+00:00,True,True,True,5,1,True
21,56629,2016-10-04 16:35:00+00:00,55189,59796,2016-09-27 16:30:00+00:00,2016-10-19 16:40:00+00:00,True,True,True,3,1,True
22,57466,2016-10-07 14:20:00+00:00,56026,60633,2016-09-30 14:15:00+00:00,2016-10-24 14:30:00+00:00,True,True,True,3,1,True
23,60048,2016-10-20 13:40:00+00:00,58608,63215,2016-10-13 13:35:00+00:00,2016-11-04 13:45:00+00:00,True,True,True,3,1,True
24,63924,2016-11-09 00:55:00+00:00,62484,67091,2016-11-02 00:50:00+00:00,2016-11-24 01:10:00+00:00,True,True,False,1,1,True
25,70117,2016-12-08 13:30:00+00:00,68677,73284,2016-12-01 13:25:00+00:00,2016-12-23 13:35:00+00:00,True,False,True,2,2,True
26,71334,2016-12-14 19:00:00+00:00,69894,74501,2016-12-07 18:55:00+00:00,2016-12-30 12:00:00+00:00,True,True,True,2,2,True
27,74352,2016-12-29 23:35:00+00:00,72912,77519,2016-12-22 06:35:00+00:00,2017-01-16 08:45:00+00:00,True,True,True,3,2,True
28,76758,2017-01-11 17:15:00+00:00,75318,79925,2017-01-04 17:10:00+00:00,2017-01-26 17:20:00+00:00,True,True,False,1,2,True
29,85372,2017-02-22 15:35:00+00:00,83932,88539,2017-02-15 15:30:00+00:00,2017-03-09 15:40:00+00:00,True,False,True,2,3,True
30,88526,2017-03-09 14:35:00+00:00,87086,91693,2017-03-02 14:30:00+00:00,2017-03-24 14:40:00+00:00,True,True,True,2,3,True
31,89730,2017-03-15 19:00:00+00:00,88290,92897,2017-03-08 18:55:00+00:00,2017-03-30 19:05:00+00:00,True,True,False,2,3,True
32,95501,2017-04-12 20:15:00+00:00,94061,98668,2017-04-05 20:10:00+00:00,2017-04-27 20:20:00+00:00,True,False,True,1,4,True
33,98592,2017-04-27 14:00:00+00:00,97152,101759,2017-04-20 13:55:00+00:00,2017-05-12 14:05:00+00:00,True,True,False,1,4,True
34,105195,2017-05-30 12:40:00+00:00,103755,108362,2017-05-23 12:35:00+00:00,2017-06-14 12:45:00+00:00,True,False,True,4,5,True
35,106069,2017-06-02 13:30:00+00:00,104629,109236,2017-05-26 13:25:00+00:00,2017-06-19 13:40:00+00:00,True,True,True,4,5,True
36,106904,2017-06-07 11:10:00+00:00,105464,110071,2017-05-31 11:05:00+00:00,2017-06-22 11:15:00+00:00,True,True,True,5,5,True
