event_id,component,component_type,k,scale_minutes,scale_days,energy,rms_volatility,detail_energy_share,total_component_energy_share
0,D_01,detail,1,5,0.003472222222222222,0.0003614655449594895,0.00028007685304394633,0.5226327904154051,0.5216249044827234
0,D_02,detail,2,10,0.006944444444444444,0.00016705903136366888,0.00019040517343349848,0.24154592033239047,0.24108010429546295
0,D_03,detail,3,20,0.013888888888888888,8.269412133003274e-05,0.00013396183358733196,0.11956508714131724,0.11933450847962665
0,D_04,detail,4,40,0.027777777777777776,4.239710901442266e-05,9.592060000263775e-05,0.06130077872909621,0.061182561514875146
0,D_05,detail,5,80,0.05555555555555555,2.143726899276422e-05,6.820692861635801e-05,0.03099553987595042,0.03093576565360969
0,D_06,detail,6,160,0.1111111111111111,7.045414353216911e-06,3.910182563033595e-05,0.010186765002642706,0.010167120048606168
0,D_07,detail,7,320,0.2222222222222222,5.627025236127389e-06,3.4944851256915126e-05,0.008135956364042258,0.008120266349717452
0,D_08,detail,8,640,0.4444444444444444,2.240137121658837e-06,2.2048602414111108e-05,0.0032389507966434352,0.003232704550704694
0,D_09,detail,9,1280,0.8888888888888888,1.6586612737408441e-06,1.897241506408445e-05,0.0023982113425120516,0.0023935864442660103
0,A_09,approximation,9,2560,1.7777777777777777,1.3363595381145415e-06,1.702963829093255e-05,,0.0019284781804077558
1,D_01,detail,1,5,0.003472222222222222,0.00042015477272122994,0.0003019593038200038,0.49353951689450404,0.49232342109658367
1,D_02,detail,2,10,0.006944444444444444,0.00018844010247226728,0.0002022229449398051,0.221353280209958,0.22080785925640797
1,D_03,detail,3,20,0.013888888888888888,9.761352822504112e-05,0.0001455454958708152,0.11466282591658049,0.11438029336143225
1,D_04,detail,4,40,0.027777777777777776,7.492619156185279e-05,0.00012751479996640203,0.08801289140827456,0.08779602507084751
1,D_05,detail,5,80,0.05555555555555555,2.399135544016732e-05,7.21557852412841e-05,0.02818171479261222,0.028112274223489945
1,D_06,detail,6,160,0.1111111111111111,3.489307530482273e-05,8.701885983620121e-05,0.040987542322485665,0.04088654781996012
1,D_07,detail,7,320,0.2222222222222222,6.992475108292577e-06,3.895464306355953e-05,0.00821378932456712,0.00819355030754684
1,D_08,detail,8,640,0.4444444444444444,3.793871422519952e-06,2.8693601923520783e-05,0.00445651362449881,0.004445532644644898
1,D_09,detail,9,1280,0.8888888888888888,5.039116790977692e-07,1.045733394023241e-05,0.0005919255065190524,0.0005904669847664496
1,A_09,approximation,9,2560,1.7777777777777777,2.1028324035822233e-06,2.1362205822034102e-05,,0.0024640292343203955
2,D_01,detail,1,5,0.003472222222222222,0.00040602846769862566,0.00029683971562928594,0.491244231165525,0.49019008335996017
2,D_02,detail,2,10,0.006944444444444444,0.00022080229074434492,0.00021889989444950724,0.2671434645237797,0.26657020853616115
2,D_03,detail,3,20,0.013888888888888888,9.925504779342067e-05,0.00014676417789604774,0.12008633266268244,0.11982864262578502
2,D_04,detail,4,40,0.027777777777777776,5.56494843309616e-05,0.00010989408996539925,0.06732899370300408,0.06718451422322573
2,D_05,detail,5,80,0.05555555555555555,2.40578382644287e-05,7.225569209428133e-05,0.029107008995452828,0.029044549046383678
2,D_06,detail,6,160,0.1111111111111111,1.0447903573545175e-05,4.76165956913255e-05,0.012640671200639348,0.012613545923716695
2,D_07,detail,7,320,0.2222222222222222,6.585634391225115e-06,3.7804419451172274e-05,0.00796780314836425,0.007950705253526702
2,D_08,detail,8,640,0.4444444444444444,3.0345901905950897e-06,2.5662194341971517e-05,0.0036714788338137374,0.0036636003059648506
2,D_09,detail,9,1280,0.8888888888888888,6.695029472413253e-07,1.2053689816956989e-05,0.0008100157667386413,0.0008082775756540263
2,A_09,approximation,9,2560,1.7777777777777777,1.7774443351535903e-06,1.964001291891648e-05,,0.0021458731496219585
3,D_01,detail,1,5,0.003472222222222222,0.0003721973647239725,0.000284204147670201,0.48274290000957104,0.4821591556936596
3,D_02,detail,2,10,0.006944444444444444,0.0001772576147632883,0.00019613098764588351,0.2299045160168426,0.2296265099510371
3,D_03,detail,3,20,0.013888888888888888,8.10842760344254e-05,0.00013265147594343152,0.10516694170326556,0.10503977130999854
3,D_04,detail,4,40,0.027777777777777776,7.373155239757236e-05,0.00012649415369736286,0.0956304015021932,0.09551476292251831
3,D_05,detail,5,80,0.05555555555555555,2.281894586502457e-05,7.037064858670845e-05,0.029596351683502053,0.029560563063790363
3,D_06,detail,6,160,0.1111111111111111,3.3143717586102075e-05,8.480947497535325e-05,0.042987661550153405,0.0429356798367326
3,D_07,detail,7,320,0.2222222222222222,5.767261922593929e-06,3.53776191689452e-05,0.007480183927934321,0.0074711387097657735
3,D_08,detail,8,640,0.4444444444444444,3.944180779501112e-06,2.92564866216083e-05,0.005115633392703983,0.0051094474458672325
3,D_09,detail,9,1280,0.8888888888888888,1.0604486508103032e-06,1.5170104998954993e-05,0.0013754102138338721,0.00137374703474961
3,A_09,approximation,9,2560,1.7777777777777777,9.334469598102673e-07,1.4232742350648257e-05,,0.0012092240318808034
4,D_01,detail,1,5,0.003472222222222222,0.0002168542567791729,0.00021693405815076158,0.5210537887351266,0.5201721559360046
4,D_02,detail,2,10,0.006944444444444444,0.00010500721861159307,0.00015095702988700965,0.2523095922337603,0.25188267966378103
4,D_03,detail,3,20,0.013888888888888888,4.847655794254655e-05,0.00010256747222711292,0.11647866431565335,0.11628158022744839
4,D_04,detail,4,40,0.027777777777777776,2.129660814859419e-05,6.798279013448349e-05,0.05117113460369997,0.05108455208264313
4,D_05,detail,5,80,0.05555555555555555,1.4540996984028874e-05,5.617471231635913e-05,0.034938864853502706,0.03487974763780466
4,D_06,detail,6,160,0.1111111111111111,5.913292309331389e-06,3.582271011781162e-05,0.014208360063750085,0.014184319251602177
4,D_07,detail,7,320,0.2222222222222222,2.6194939606942885e-06,2.3842537015410625e-05,0.0062940763675137104,0.006283426672058565
4,D_08,detail,8,640,0.4444444444444444,9.457046936807156e-07,1.4325887522807357e-05,0.0022723234534829527,0.002268478639511505
4,D_09,detail,9,1280,0.8888888888888888,5.298835598671843e-07,1.0723436575327241e-05,0.0012731953735102774,0.0012710411030198892
4,A_09,approximation,9,2560,1.7777777777777777,7.053846926149437e-07,1.2372480564020396e-05,,0.0016920187861260883
5,D_01,detail,1,5,0.003472222222222222,0.00023387245787102426,0.00022528553346052606,0.547877890974796,0.5471016082631867
5,D_02,detail,2,10,0.006944444444444444,0.00010042644510823599,0.00014762768507371786,0.23526254200629135,0.23492920086028563
5,D_03,detail,3,20,0.013888888888888888,4.726055224022693e-05,0.0001012728800453909,0.11071424110127218,0.11055737119885113
5,D_04,detail,4,40,0.027777777777777776,2.9783117473262118e-05,8.039496343743948e-05,0.06977098430677206,0.06967212649596874
5,D_05,detail,5,80,0.05555555555555555,7.604652060165246e-06,4.0624070662888534e-05,0.01781492686333406,0.017789685071393915
5,D_06,detail,6,160,0.1111111111111111,3.5238288489242862e-06,2.7653567623073813e-05,0.008255046085715154,0.008243349593366325
5,D_07,detail,7,320,0.2222222222222222,2.2276963682397817e-06,2.198729296969887e-05,0.0052186802972606005,0.0052112860012707195
