event_id,scale_group,component_start,component_end,group_energy,group_rms_volatility,group_detail_energy_share
0,fine,D_01,D_03,0.000611218697653191,0.00036420179370689673,0.8837437978891128
0,mid,D_04,D_06,7.08797923604038e-05,0.00012402378555651406,0.10248308360768935
0,coarse,D_07,D_09,9.52582363152707e-06,4.54668673997601e-05,0.013773118503197745
1,fine,D_01,D_03,0.0007062084034185383,0.0003914805640026977,0.8295556230210426
1,mid,D_04,D_06,0.00013381062230684282,0.00017040763926963562,0.15718214852337245
1,coarse,D_07,D_09,1.1290258209910298e-05,4.9498917570916023e-05,0.013262228455584982
2,fine,D_01,D_03,0.0007260858062363912,0.00039695176593433054,0.8784740283519872
2,mid,D_04,D_06,9.015522616893547e-05,0.00013987471620910625,0.10907667389909625
2,coarse,D_07,D_09,1.028972752906153e-05,4.7254775279210674e-05,0.01244929774891663
3,fine,D_01,D_03,0.0006305392555216862,0.0003699132005455684,0.8178143577296793
3,mid,D_04,D_06,0.00012969421584869902,0.00016776604587258155,0.16821441473584867
3,coarse,D_07,D_09,1.0771891352905344e-05,4.8349250595873595e-05,0.013971227534472176
4,fine,D_01,D_03,0.0003703380333333125,0.00028349338055257145,0.8898420452845404
4,mid,D_04,D_06,4.1750897441954455e-05,9.518678804581914e-05,0.10031835952095276
4,coarse,D_07,D_09,4.095082214242188e-06,2.9810899292581216e-05,0.00983959519450694
5,fine,D_01,D_03,0.00038155945521948717,0.00028775632264036664,0.8938546740823595
5,mid,D_04,D_06,4.091159838235165e-05,9.422518275712978e-05,0.09584095725582129
5,coarse,D_07,D_09,4.3986225132411295e-06,3.0895989664561254e-05,0.010304368661819172
6,fine,D_01,D_03,0.00040991092505385213,0.0002982555346409825,0.8847521780136842
6,mid,D_04,D_06,4.6452338187183656e-05,0.00010040319993895894,0.10026277630814452
6,coarse,D_07,D_09,6.942660429165297e-06,3.88156378147798e-05,0.014985045678171273
7,fine,D_01,D_03,0.0004193323585846123,0.0003016636303457823,0.8745278839811602
7,mid,D_04,D_06,5.216421958146077e-05,0.00010639718112913862,0.10878975503842149
7,coarse,D_07,D_09,7.999120330884033e-06,4.166437579870026e-05,0.016682360980418254
8,fine,D_01,D_03,0.0011856323157077985,0.0005072461726066429,0.8866438942988728
8,mid,D_04,D_06,0.0001231094697893206,0.00016345172008281115,0.09206417392048712
8,coarse,D_07,D_09,2.8471861753398965e-05,7.860527617795085e-05,0.0212919317806401
9,fine,D_01,D_03,0.0012393117066147714,0.0005186018251009123,0.8974052722614562
9,mid,D_04,D_06,0.00012999668655914822,0.00016796156254593103,0.09413266353576226
9,coarse,D_07,D_09,1.1686063758245478e-05,5.0359091949521446e-05,0.008462064202781592
10,fine,D_01,D_03,0.00038759733845895725,0.0002900241468256759,0.8875291906908743
10,mid,D_04,D_06,4.541869782684467e-05,9.927984812474728e-05,0.10400076606501595
10,coarse,D_07,D_09,3.698995202054921e-06,2.833254901662185e-05,0.008470043244109802
11,fine,D_01,D_03,0.00022927055466123633,0.00022305805225265342,0.8798150796579717
11,mid,D_04,D_06,2.7557979474560172e-05,7.73334616818262e-05,0.10575246325219564
11,coarse,D_07,D_09,3.760946497298898e-06,2.856882260930399e-05,0.014432457089832542
12,fine,D_01,D_03,0.00022945287431980956,0.00022314672431580828,0.8668981248520403
12,mid,D_04,D_06,3.1767827622694135e-05,8.303047521213353e-05,0.12002233695426323
12,coarse,D_07,D_09,3.4619265485568263e-06,2.7409599474454308e-05,0.013079538193696573
13,fine,D_01,D_03,0.0002517305609928995,0.000233728534828871,0.8839125231395567
13,mid,D_04,D_06,2.9982074480296078e-05,8.066304345811262e-05,0.10527736877996367
13,coarse,D_07,D_09,3.0786242985080778e-06,2.5847712305870813e-05,0.010810108080479667
14,fine,D_01,D_03,0.0002327248499923463,0.00022473211772668894,0.8800015410961093
14,mid,D_04,D_06,2.9190406347700188e-05,7.959097687402339e-05,0.11037756634945779
14,coarse,D_07,D_09,2.544337335743785e-06,2.3498011402562414e-05,0.009620892554432993
15,fine,D_01,D_03,0.00023718726707214335,0.000226876466876257,0.8661926354494548
15,mid,D_04,D_06,3.208631841906479e-05,8.344565141604705e-05,0.11717716999043865
15,coarse,D_07,D_09,4.553802742207517e-06,3.143625999255222e-05,0.01663019456010649
16,fine,D_01,D_03,0.00029039587423150364,0.00025103772223366606,0.9034068445307393
16,mid,D_04,D_06,2.829890448257664e-05,7.83661617859339e-05,0.0880364573702607
16,coarse,D_07,D_09,2.7505102933826803e-06,2.4431515204667394e-05,0.008556698099000051
17,fine,D_01,D_03,0.00031446928288452966,0.0002612359125673036,0.8977245863154192
17,mid,D_04,D_06,3.317664953534656e-05,8.485159831122396e-05,0.094710344063674
17,coarse,D_07,D_09,2.650013216661816e-06,2.3981027370709838e-05,0.007565069620906864
18,fine,D_01,D_03,0.00031938694459565306,0.00026327058876191007,0.9027621635366541
18,mid,D_04,D_06,3.1073634294928334e-05,8.211826971054337e-05,0.08783108326657028
18,coarse,D_07,D_09,3.328001862986368e-06,2.6874200016300743e-05,0.00940675319677572
19,fine,D_01,D_03,0.0002877343913969587,0.0002498846918963458,0.8882735504958169
19,mid,D_04,D_06,3.234567453259565e-05,8.378222137812338e-05,0.09985531107615296
19,coarse,D_07,D_09,3.845363614476341e-06,2.8887667129232587e-05,0.01187113842803023
20,fine,D_01,D_03,0.0002320244973338445,0.00022439371311136865,0.8857499250600346
20,mid,D_04,D_06,2.6715516562557216e-05,7.61422231282753e-05,0.10198607071725568
20,coarse,D_07,D_09,3.2125878135202647e-06,2.6404093902444092e-05,0.012264004222709658
21,fine,D_01,D_03,0.00026553417916581244,0.00024005125463886235,0.8906524774674663
21,mid,D_04,D_06,2.9199276717995427e-05,7.96030689943232e-05,0.09793996475648083
21,coarse,D_07,D_09,3.4009858693301807e-06,2.716728123238505e-05,0.011407557776052834
22,fine,D_01,D_03,0.00029202996575814307,0.0002517430407007584,0.8933936742755694
22,mid,D_04,D_06,3.214866016219017e-05,8.352667696229862e-05,0.09835089885646374
22,coarse,D_07,D_09,2.698510292818131e-06,2.4199467201803368e-05,0.008255426867966915
23,fine,D_01,D_03,0.0002539478744503191,0.0002347556512834804,0.9135393735595674
23,mid,D_04,D_06,2.1400679473614653e-05,6.814869534652688e-05,0.07698573324306261
23,coarse,D_07,D_09,2.633853622247896e-06,2.390779825345911e-05,0.009474893197370162
24,fine,D_01,D_03,0.0006544247590880922,0.00037685443072210407,0.8711744030761227
24,mid,D_04,D_06,8.236069391356684e-05,0.00013369148992277175,0.10963907975772123
24,coarse,D_07,D_09,1.4412879705677168e-05,5.592669376082182e-05,0.019186517166156127
25,fine,D_01,D_03,0.0006198303151382865,0.00036675848611775175,0.8740347889787062
25,mid,D_04,D_06,7.704373418880292e-05,0.00012930413903210512,0.10864086881394036
25,coarse,D_07,D_09,1.228572663851819e-05,5.1635000877802343e-05,0.017324342207353304
26,fine,D_01,D_03,0.00058653517867396,0.00035677202818351015,0.8907602218639371
26,mid,D_04,D_06,6.121939064169786e-05,0.0001152625613048873,0.09297276612403613
26,coarse,D_07,D_09,1.0711271746060212e-05,4.821301418246121e-05,0.01626701201202667
27,fine,D_01,D_03,0.0006113372399849423,0.0003642371094105216,0.896550647355309
27,mid,D_04,D_06,6.236438570230961e-05,0.00011633545405174137,0.09145987961521702
27,coarse,D_07,D_09,8.175345556141997e-06,4.212082064904328e-05,0.011989473029473863
28,fine,D_01,D_03,0.0005565056432126433,0.00034751899778600335,0.8841335098880112
28,mid,D_04,D_06,6.643703586483282e-05,0.00012007397519561828,0.10555007019629774
28,coarse,D_07,D_09,6.493528224668855e-06,3.7539123759687713e-05,0.010316419915690996
29,fine,D_01,D_03,0.0002999863068560335,0.0002551493583457411,0.8918780655479988
29,mid,D_04,D_06,3.307968792745023e-05,8.472751454142156e-05,0.09834798256916644
29,coarse,D_07,D_09,3.2875029020011206e-06,2.67101813827007e-05,0.009773951882834817
30,fine,D_01,D_03,0.0002690154260799116,0.00024161970901543408,0.8783633462547559
30,mid,D_04,D_06,3.34508863648691e-05,8.520156651623579e-05,0.10922062318428542
30,coarse,D_07,D_09,3.802644732182104e-06,2.8726759674451375e-05,0.012416030560958642
31,fine,D_01,D_03,0.0002725420285444011,0.00024319828432800886,0.8725739112361964
31,mid,D_04,D_06,3.523242379108284e-05,8.744098182136507e-05,0.11280056141766005
31,coarse,D_07,D_09,4.5681756469230555e-06,3.14858311350723e-05,0.014625527346143618
32,fine,D_01,D_03,0.0002621256463454146,0.00023850556784052652,0.8811327755029309
32,mid,D_04,D_06,3.2328330914807816e-05,8.375975652489288e-05,0.10867136559695932
32,coarse,D_07,D_09,3.033136637906212e-06,2.5656047577976555e-05,0.010195858900109796
33,fine,D_01,D_03,0.00028356402799407585,0.0002480671934456311,0.8905154565230294
33,mid,D_04,D_06,3.111170860207195e-05,8.21685637802775e-05,0.09770441471357708
33,coarse,D_07,D_09,3.7511092457386614e-06,2.8531435383885152e-05,0.011780128763393459
34,fine,D_01,D_03,0.00027007359783811854,0.00024209444800132017,0.8944014518975438
34,mid,D_04,D_06,2.9143840420122528e-05,7.952746787574706e-05,0.09651551797096429
34,coarse,D_07,D_09,2.742713153785301e-06,2.439686142948837e-05,0.00908303013149193
35,fine,D_01,D_03,0.0002771079871175973,0.0002452270008105998,0.8891947752975363
35,mid,D_04,D_06,3.0833958702996555e-05,8.180096141230054e-05,0.09894119352398643
35,coarse,D_07,D_09,3.6972977015841747e-06,2.832604724631964e-05,0.011864031178477216
36,fine,D_01,D_03,0.00024677449472019174,0.0002314162759570281,0.8802946429229723
36,mid,D_04,D_06,3.0156241979571516e-05,8.089699219539116e-05,0.10757342769724071
36,coarse,D_07,D_09,3.400964400665951e-06,2.7167195485754272e-05,0.01213192937978695
37,fine,D_01,D_03,0.00030470853874428545,0.00025714973258891024,0.8905904436596532
37,mid,D_04,D_06,3.346006865274834e-05,8.52132596537776e-05,0.09779580680323963
37,coarse,D_07,D_09,3.97355336112999e-06,2.936522207657103e-05,0.011613749537107225
38,fine,D_01,D_03,0.00029927495411603795,0.00025484666299515317,0.8877793452870278
38,mid,D_04,D_06,3.394961921587983e-05,8.583436894586593e-05,0.10070929860883579
38,coarse,D_07,D_09,3.880536969200362e-06,2.9019483432054284e-05,0.011511356104136436
39,fine,D_01,D_03,0.0002865397021125469,0.0002493653846798059,0.8996629213498765
39,mid,D_04,D_06,2.8851219607783407e-05,7.91272100245702e-05,0.09058560585314675
39,coarse,D_07,D_09,3.105812237111937e-06,2.596159455300004e-05,0.009751472796976742
40,fine,D_01,D_03,0.00022195616620760255,0.0002194711160758527,0.8733960646628921
40,mid,D_04,D_06,2.8629578257275657e-05,7.882268781803985e-05,0.11265720349249021
40,coarse,D_07,D_09,3.544283351621946e-06,2.7733710776952005e-05,0.013946731844617626
41,fine,D_01,D_03,0.00034302089375432834,0.00027283749398454967,0.879118084254722
41,mid,D_04,D_06,3.9717955216398905e-05,9.284044334354213e-05,0.10179197050708769
41,coarse,D_07,D_09,7.448658143435317e-06,4.020525178021883e-05,0.01908994523819021
42,fine,D_01,D_03,0.0003564718841507858,0.000278135488313001,0.8818342635847879
42,mid,D_04,D_06,4.090454900119486e-05,9.421706454775277e-05,0.10118899820575661
42,coarse,D_07,D_09,6.862661280202499e-06,3.859135670773891e-05,0.016976738209455413
43,fine,D_01,D_03,0.00035028862369151047,0.00027571270638262444,0.8764734249660261
43,mid,D_04,D_06,4.3987628726267186e-05,9.770325671587331e-05,0.11006348764497356
43,coarse,D_07,D_09,5.380615336185756e-06,3.417116121411251e-05,0.013463087389000327
44,fine,D_01,D_03,0.00035377425840262634,0.00027708108489165516,0.8957948168778803
44,mid,D_04,D_06,3.5688618720560945e-05,8.800526085196119e-05,0.09036745583401114
44,coarse,D_07,D_09,5.4649029187180186e-06,3.4437767563987605e-05,0.013837727288108587
45,fine,D_01,D_03,0.0003732297704811384,0.0002845980392434552,0.8877273110422086
45,mid,D_04,D_06,4.367429780752231e-05,9.735465685678262e-05,0.10387935266886149
45,coarse,D_07,D_09,3.5288347420679727e-06,2.767320275324831e-05,0.008393336288929928
46,fine,D_01,D_03,0.0004163715479239456,0.0003005967545361423,0.8959176070854586
46,mid,D_04,D_06,4.2959997651711683e-05,9.655524924650905e-05,0.09243815646968458
46,coarse,D_07,D_09,5.411578826662112e-06,3.426934149064897e-05,0.011644236444856815
47,fine,D_01,D_03,0.0004071440740176602,0.00029724723521109165,0.8853363967681316
47,mid,D_04,D_06,4.763585630733906e-05,0.00010167419745347369,0.10358435765486476
47,coarse,D_07,D_09,5.095068041627986e-06,3.325207557231856e-05,0.011079245577003585
48,fine,D_01,D_03,0.0003366100356998542,0.000270275882916425,0.8570554805110789
48,mid,D_04,D_06,5.106864044311387e-05,0.0001052739486427128,0.1300277874455525
48,coarse,D_07,D_09,5.073069052252019e-06,3.3180211627279907e-05,0.01291673204336855
49,fine,D_01,D_03,0.0003032955822973087,0.00025655282847234217,0.8601523740232953
49,mid,D_04,D_06,4.478837769401789e-05,9.858853899111797e-05,0.12702074032979854
