component,k,component_type,scale_minutes,scale_days,energy,rms_volatility,annualized_rms_volatility,detail_energy_share,total_component_energy_share,series
D_01,1,detail,5,0.003472222222222222,0.031122547001427126,0.00020574314078630775,0.05542706466008347,0.5128464888450802,0.5126493888063147,final
D_02,2,detail,10,0.006944444444444444,0.015118124735782654,0.00014339590911562695,0.038630762105446824,0.24912090865546974,0.2490251651107223,final
D_03,3,detail,20,0.013888888888888888,0.007390115037586061,0.00010025669849871186,0.027009087588811664,0.12177649049781977,0.12172968867403834,final
D_04,4,detail,40,0.027777777777777776,0.0035836086584443297,6.981489483701255e-05,0.01880808602211028,0.059051758128720266,0.05902906302585907,final
D_05,5,detail,80,0.05555555555555555,0.0017728733025422238,4.9105105631129804e-05,0.013228882647338267,0.029213928035333007,0.029202700374671386,final
D_06,6,detail,160,0.1111111111111111,0.000855525840197925,3.4111778680288556e-05,0.009189690384607166,0.014097606575760781,0.014092188504538649,final
D_07,7,detail,320,0.2222222222222222,0.0004398670432465271,2.445955274818566e-05,0.006589387167655373,0.007248258591345506,0.007245472899953616,final
D_08,8,detail,640,0.4444444444444444,0.00021300974706283247,1.7021096655603523e-05,0.004585472066335115,0.0035100373008013453,0.0035086883035807264,final
D_09,9,detail,1280,0.8888888888888888,0.00011177733418563818,1.2330045336023205e-05,0.0033217059751767942,0.0018418998087444153,0.0018411919194800796,final
D_10,10,detail,2560,1.7777777777777777,5.5087711141289156e-05,8.655958460405543e-06,0.002331909425734905,0.0009077515164818186,0.0009074026443281047,final
D_11,11,detail,5120,3.5555555555555554,2.335630359816084e-05,5.6362449016464476e-06,0.0015184006106336925,0.00038487204444312477,0.00038472412826054484,final
A_11,11,approximation,10240,7.111111111111111,2.3332109757392505e-05,5.633324967366758e-06,0.001517613982289705,,0.00038432560825245565,final
