window_length,window_id,window_start_index,window_end_index,window_start_timestamp_utc,window_end_timestamp_utc,step_size,K_roll,n_obs,original_rms_volatility,max_abs_reconstruction_error,selection_reason
2048,0,0,2047,2016-01-03 22:05:00+00:00,2016-01-13 00:45:00+00:00,288,9,2048,0.0004101973514708,8.673617379884035e-19,first_window
2048,159,45792,47839,2016-08-12 00:50:00+00:00,2016-08-23 03:35:00+00:00,288,9,2048,0.0002569951938211,4.336808689942019e-19,median_total_vol
2048,940,270720,272767,2019-08-19 20:30:00+00:00,2019-08-28 23:10:00+00:00,288,9,2048,0.0001863196007518,2.1684043449710093e-19,random_1
2048,999,287712,289759,2019-11-08 21:25:00+00:00,2019-11-20 00:10:00+00:00,288,9,2048,0.0001231640896795,1.0842021724855044e-19,min_total_vol
2048,1086,312768,314815,2020-03-12 13:30:00+00:00,2020-03-23 16:20:00+00:00,288,9,2048,0.0007771225183112,8.673617379884035e-19,max_total_vol
2048,2038,586944,588991,2024-01-04 03:00:00+00:00,2024-01-15 05:45:00+00:00,288,9,2048,0.0002504651926404,4.336808689942019e-19,random_2
2048,2045,588960,591007,2024-01-15 03:10:00+00:00,2024-01-24 11:05:00+00:00,288,9,2048,0.0002139853472018,4.336808689942019e-19,random_3
2048,2545,732960,735007,2025-12-17 14:20:00+00:00,2025-12-29 11:45:00+00:00,288,9,2048,0.0001730898774622,3.2526065174565133e-19,last_window
8192,0,0,8191,2016-01-03 22:05:00+00:00,2016-02-11 09:05:00+00:00,288,9,8192,0.0003960328585401,8.673617379884035e-19,first_window
8192,49,14112,22303,2016-03-10 22:50:00+00:00,2016-04-20 09:55:00+00:00,288,9,8192,0.0003081527198764,8.673617379884035e-19,random_1
8192,344,99072,107263,2017-05-01 06:05:00+00:00,2017-06-08 17:05:00+00:00,288,9,8192,0.000254066580099,6.505213034913028e-19,random_2
8192,573,165024,173215,2018-03-20 10:05:00+00:00,2018-04-27 21:35:00+00:00,288,9,8192,0.0002356450265924,6.505213034913028e-19,random_3
8192,711,204768,212959,2018-09-28 13:00:00+00:00,2018-11-08 00:05:00+00:00,288,9,8192,0.0002587269866998,4.336808689942019e-19,median_total_vol
8192,994,286272,294463,2019-11-01 20:20:00+00:00,2019-12-12 08:25:00+00:00,288,9,8192,0.0001419054019605,2.1684043449710093e-19,min_total_vol
8192,1077,310176,318367,2020-02-28 14:20:00+00:00,2020-04-09 02:35:00+00:00,288,9,8192,0.0005780816071035,8.673617379884035e-19,max_total_vol
8192,2524,726912,735103,2025-11-18 14:00:00+00:00,2025-12-29 19:45:00+00:00,288,9,8192,0.000184321985464,2.1684043449710093e-19,last_window
