baseline_type,window_length,correlation_kind,component_i,component_j,metric,empirical_value,baseline_median,baseline_p05,baseline_p95,difference_from_median,percentile_rank,inside_envelope,above_envelope,below_envelope,n_simulations,quantile_method,outside_envelope
gaussian,2048,detail_energy_share_percentile_correlation,D_01,D_01,correlation,0.9999999999999998,1.0,0.9999999999999998,1.0,-2.220446049250313e-16,0.31,True,False,False,100,linear,False
gaussian,2048,detail_energy_share_percentile_correlation,D_01,D_02,correlation,-0.6237189771348612,-0.5650451088095424,-0.6194077756323071,-0.5205536619562176,-0.058673868325318845,0.04,False,False,True,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_01,D_03,correlation,-0.40632262323868046,-0.3582636313789475,-0.40952384851302487,-0.30543865177052915,-0.04805899185973295,0.09,True,False,False,100,linear,False
gaussian,2048,detail_energy_share_percentile_correlation,D_01,D_04,correlation,-0.3475138726914567,-0.24669159063295099,-0.3126214064289224,-0.19737481071088464,-0.10082228205850574,0.0,False,False,True,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_01,D_05,correlation,-0.24998738982979338,-0.1693768748301731,-0.2261106196840016,-0.10345407483370049,-0.08061051499962027,0.02,False,False,True,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_01,D_06,correlation,-0.15900544542562084,-0.127698814692354,-0.18191184250104364,-0.07240112432172494,-0.03130663073326684,0.16,True,False,False,100,linear,False
gaussian,2048,detail_energy_share_percentile_correlation,D_01,D_07,correlation,-0.1497786382104312,-0.0893335509094633,-0.12743077308677067,-0.03996004471737356,-0.0604450873009679,0.0,False,False,True,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_01,D_08,correlation,-0.10173030156778368,-0.05994458185528688,-0.10493276025585416,-0.02291618843754323,-0.0417857197124968,0.06,True,False,False,100,linear,False
gaussian,2048,detail_energy_share_percentile_correlation,D_01,D_09,correlation,-0.06713192169630458,-0.04137831944318644,-0.08149935420924416,0.008177138977614656,-0.025753602253118138,0.16,True,False,False,100,linear,False
gaussian,2048,detail_energy_share_percentile_correlation,D_02,D_01,correlation,-0.6237189771348612,-0.5650451088095424,-0.6194077756323071,-0.5205536619562176,-0.058673868325318845,0.04,False,False,True,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_02,D_02,correlation,1.0,1.0,0.9999999999999998,1.0,0.0,1.0,True,False,False,100,linear,False
gaussian,2048,detail_energy_share_percentile_correlation,D_02,D_03,correlation,-0.15336960124480617,-0.21248167973338644,-0.27533118250134425,-0.15888694289146296,0.05911207848858027,0.97,False,True,False,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_02,D_04,correlation,-0.052445860854895075,-0.14009594963361627,-0.1894102159744117,-0.06458879033970419,0.08765008877872119,0.96,False,True,False,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_02,D_05,correlation,-0.046450480535729956,-0.10122288957239017,-0.17750657118831586,-0.03510216404685048,0.05477240903666022,0.91,True,False,False,100,linear,False
gaussian,2048,detail_energy_share_percentile_correlation,D_02,D_06,correlation,0.035683190256923,-0.05961660999793001,-0.11317778443298628,-0.005592043705629673,0.09529980025485302,1.0,False,True,False,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_02,D_07,correlation,0.059720176250335114,-0.04435257925011757,-0.08764929934449235,-0.006513908925666265,0.10407275550045268,1.0,False,True,False,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_02,D_08,correlation,0.00503725605852006,-0.029719090641935432,-0.06820004227730408,0.01420855111237524,0.03475634670045549,0.9,True,False,False,100,linear,False
gaussian,2048,detail_energy_share_percentile_correlation,D_02,D_09,correlation,-0.04260266525523938,-0.024895142155176502,-0.07587622317701205,0.0210531760100783,-0.01770752310006288,0.25,True,False,False,100,linear,False
gaussian,2048,detail_energy_share_percentile_correlation,D_03,D_01,correlation,-0.40632262323868046,-0.35826363137894757,-0.4095238485130248,-0.30543865177052915,-0.04805899185973289,0.09,True,False,False,100,linear,False
gaussian,2048,detail_energy_share_percentile_correlation,D_03,D_02,correlation,-0.15336960124480617,-0.21248167973338644,-0.27533118250134425,-0.15888694289146296,0.05911207848858027,0.97,False,True,False,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_03,D_03,correlation,1.0,1.0,0.9999999999999998,1.0,0.0,1.0,True,False,False,100,linear,False
gaussian,2048,detail_energy_share_percentile_correlation,D_03,D_04,correlation,-0.01306481546412288,-0.09514814373715519,-0.16802954887874794,-0.01930939523639267,0.0820833282730323,0.98,False,True,False,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_03,D_05,correlation,-0.007282334438815756,-0.06978916189150122,-0.12611850810026176,0.003514002722333798,0.06250682745268546,0.91,True,False,False,100,linear,False
gaussian,2048,detail_energy_share_percentile_correlation,D_03,D_06,correlation,-0.06079659385270213,-0.04395301697129261,-0.10276659621364269,0.013786118072482633,-0.016843576881409514,0.39,True,False,False,100,linear,False
gaussian,2048,detail_energy_share_percentile_correlation,D_03,D_07,correlation,-0.0345933434745129,-0.027643223274935097,-0.07079672438892755,0.019550073860581108,-0.006950120199577803,0.44,True,False,False,100,linear,False
gaussian,2048,detail_energy_share_percentile_correlation,D_03,D_08,correlation,0.03675816961584827,-0.020000441252797076,-0.06464070467471819,0.02043397919716469,0.056758610868645344,0.99,False,True,False,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_03,D_09,correlation,0.03342386832213795,-0.017478706421380486,-0.062129981349207344,0.0273883236006225,0.05090257474351843,0.95,False,True,False,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_04,D_01,correlation,-0.3475138726914567,-0.24669159063295099,-0.31262140642892244,-0.19737481071088464,-0.10082228205850574,0.0,False,False,True,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_04,D_02,correlation,-0.052445860854895075,-0.14009594963361627,-0.1894102159744117,-0.06458879033970419,0.08765008877872119,0.96,False,True,False,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_04,D_03,correlation,-0.01306481546412288,-0.09514814373715519,-0.16802954887874794,-0.01930939523639267,0.0820833282730323,0.98,False,True,False,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_04,D_04,correlation,1.0,1.0,0.9999999999999998,1.0,0.0,1.0,True,False,False,100,linear,False
gaussian,2048,detail_energy_share_percentile_correlation,D_04,D_05,correlation,0.10349966602376716,-0.04458218776252498,-0.12724236872201672,0.02229155113070047,0.14808185378629213,1.0,False,True,False,100,linear,True
