window_length,fine_bucket,vol_bucket,regime_label,window_count,window_share
2048,lowFine,lowVol,lowVol_lowFine,103,0.040455616653574236
2048,lowFine,midVol,midVol_lowFine,306,0.1201885310290652
2048,lowFine,highVol,highVol_lowFine,100,0.03927729772191673
2048,midFine,lowVol,lowVol_midFine,291,0.11429693637077769
2048,midFine,midVol,midVol_midFine,912,0.3582089552238806
2048,midFine,highVol,highVol_midFine,324,0.1272584446190102
2048,highFine,lowVol,lowVol_highFine,115,0.045168892380204245
2048,highFine,midVol,midVol_highFine,309,0.12136684996072271
2048,highFine,highVol,highVol_highFine,86,0.03377847604084839
8192,lowFine,lowVol,lowVol_lowFine,115,0.04554455445544554
8192,lowFine,midVol,midVol_lowFine,298,0.11801980198019801
8192,lowFine,highVol,highVol_lowFine,92,0.03643564356435643
8192,midFine,lowVol,lowVol_midFine,273,0.10811881188118812
8192,midFine,midVol,midVol_midFine,881,0.3489108910891089
8192,midFine,highVol,highVol_midFine,360,0.14257425742574256
8192,highFine,lowVol,lowVol_highFine,117,0.046336633663366336
8192,highFine,midVol,midVol_highFine,335,0.13267326732673268
8192,highFine,highVol,highVol_highFine,54,0.021386138613861388
