window_length,fine_bucket,vol_bucket,regime_label,episode_count,episode_share
2048,lowFine,lowVol,lowVol_lowFine,13,0.03735632183908046
2048,lowFine,midVol,midVol_lowFine,46,0.13218390804597702
2048,lowFine,highVol,highVol_lowFine,13,0.03735632183908046
2048,midFine,lowVol,lowVol_midFine,40,0.11494252873563218
2048,midFine,midVol,midVol_midFine,119,0.34195402298850575
2048,midFine,highVol,highVol_midFine,44,0.12643678160919541
2048,highFine,lowVol,lowVol_highFine,16,0.04597701149425287
2048,highFine,midVol,midVol_highFine,43,0.1235632183908046
2048,highFine,highVol,highVol_highFine,14,0.040229885057471264
8192,lowFine,lowVol,lowVol_lowFine,7,0.034653465346534656
8192,lowFine,midVol,midVol_lowFine,29,0.14356435643564355
8192,lowFine,highVol,highVol_lowFine,8,0.039603960396039604
8192,midFine,lowVol,lowVol_midFine,25,0.12376237623762376
8192,midFine,midVol,midVol_midFine,67,0.3316831683168317
8192,midFine,highVol,highVol_midFine,23,0.11386138613861387
8192,highFine,lowVol,lowVol_highFine,11,0.054455445544554455
8192,highFine,midVol,midVol_highFine,27,0.13366336633663367
8192,highFine,highVol,highVol_highFine,5,0.024752475247524754
