baseline_type,window_length,correlation_kind,component_i,component_j,metric,n_simulations,mean,median,std,p05,p95,min,max,quantile_method
gaussian,2048,detail_energy_share_percentile_correlation,D_01,D_01,correlation,100,1.0,1.0,1.242520249155451e-16,0.9999999999999998,1.0,0.9999999999999998,1.0,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_01,D_02,correlation,100,-0.5646465062346464,-0.5650451088095424,0.029883336366453593,-0.6194077756323071,-0.5205536619562176,-0.6315740723921041,-0.48958499229179125,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_01,D_03,correlation,100,-0.35830562584064496,-0.3582636313789475,0.03331714207795308,-0.40952384851302487,-0.30543865177052915,-0.42606242576774683,-0.2341633992118815,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_01,D_04,correlation,100,-0.25084010727907274,-0.24669159063295099,0.03489648214329684,-0.3126214064289224,-0.19737481071088464,-0.34565987218978406,-0.17668170309102701,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_01,D_05,correlation,100,-0.1656070965156402,-0.1693768748301731,0.03990926057724398,-0.2261106196840016,-0.10345407483370049,-0.25504598940644624,-0.05893476663090453,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_01,D_06,correlation,100,-0.12457387632236708,-0.127698814692354,0.034793592380516616,-0.18191184250104364,-0.07240112432172494,-0.20993304800452145,-0.049386626891455315,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_01,D_07,correlation,100,-0.08821797384281266,-0.0893335509094633,0.0284591661083282,-0.12743077308677067,-0.03996004471737356,-0.14640090312817275,-0.027622435640073856,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_01,D_08,correlation,100,-0.05970246406421424,-0.05994458185528688,0.023972005098926635,-0.10493276025585416,-0.02291618843754323,-0.11280361413126029,0.012613698556568376,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_01,D_09,correlation,100,-0.038087658192895134,-0.04137831944318644,0.02809280413595728,-0.08149935420924416,0.008177138977614656,-0.10155148166314229,0.03381256779110562,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_02,D_01,correlation,100,-0.5646465062346464,-0.5650451088095424,0.029883336366453593,-0.6194077756323071,-0.5205536619562176,-0.6315740723921041,-0.48958499229179125,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_02,D_02,correlation,100,1.0,1.0,1.4802973661668753e-16,0.9999999999999998,1.0,0.9999999999999998,1.0,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_02,D_03,correlation,100,-0.21471387671679334,-0.21248167973338644,0.035635081092888286,-0.27533118250134425,-0.15888694289146296,-0.2987310713679536,-0.12480096611276496,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_02,D_04,correlation,100,-0.1338195415121675,-0.14009594963361627,0.040499827547823886,-0.1894102159744117,-0.06458879033970419,-0.22046088820116172,-0.027906456726533243,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_02,D_05,correlation,100,-0.10123067083296995,-0.10122288957239017,0.04398100804407642,-0.17750657118831586,-0.03510216404685048,-0.23691812330033762,0.005943161829837833,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_02,D_06,correlation,100,-0.061465905553036285,-0.05961660999793001,0.03520968644012853,-0.11317778443298628,-0.005592043705629673,-0.16974151389697356,0.027261086791460363,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_02,D_07,correlation,100,-0.04550132944537885,-0.04435257925011757,0.02776978091272068,-0.08764929934449235,-0.006513908925666265,-0.13236425137366561,0.018044361822763654,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_02,D_08,correlation,100,-0.028603173552139895,-0.029719090641935432,0.025478633446523385,-0.06820004227730408,0.01420855111237524,-0.0921625593991406,0.04392869444235049,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_02,D_09,correlation,100,-0.025715233735473065,-0.024895142155176502,0.029100291230489007,-0.07587622317701205,0.0210531760100783,-0.10947411837390297,0.039261527578900605,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_03,D_01,correlation,100,-0.35830562584064496,-0.35826363137894757,0.033317142077953076,-0.4095238485130248,-0.30543865177052915,-0.42606242576774683,-0.2341633992118815,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_03,D_02,correlation,100,-0.21471387671679334,-0.21248167973338644,0.035635081092888286,-0.27533118250134425,-0.15888694289146296,-0.2987310713679536,-0.12480096611276496,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_03,D_03,correlation,100,1.0,1.0,1.2819751242557092e-16,0.9999999999999998,1.0,0.9999999999999998,1.0,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_03,D_04,correlation,100,-0.09459551962845734,-0.09514814373715519,0.04153289228166115,-0.16802954887874794,-0.01930939523639267,-0.19251500375394803,-0.009162084442511795,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_03,D_05,correlation,100,-0.06397806382086388,-0.06978916189150122,0.042963352703061806,-0.12611850810026176,0.003514002722333798,-0.15398019302830285,0.0541210269095257,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_03,D_06,correlation,100,-0.04391829568777478,-0.04395301697129261,0.039265061768182515,-0.10276659621364269,0.013786118072482633,-0.1511603553401467,0.0526753130364936,linear
