window_length,window_id,window_end_timestamp_utc,component,k,component_type,scale_minutes,scale_days,energy,rms_volatility,detail_energy_share,total_component_energy_share
2048,0,2016-01-13 00:45:00+00:00,D_01,1,detail,5,0.003472222222222222,0.00017750556484848908,0.00029440217235301834,0.5160973105802021,0.5151056537784734
2048,0,2016-01-13 00:45:00+00:00,D_02,2,detail,10,0.006944444444444444,8.753713107806375e-05,0.00020674317348877766,0.25451414981753956,0.2540251128033396
2048,0,2016-01-13 00:45:00+00:00,D_03,3,detail,20,0.013888888888888888,4.078357935677017e-05,0.00014111646646581657,0.11857822958862856,0.11835038707618394
2048,0,2016-01-13 00:45:00+00:00,D_04,4,detail,40,0.027777777777777776,2.0661621019131536e-05,0.00010044243196103836,0.060073649236309715,0.05995822053391466
2048,0,2016-01-13 00:45:00+00:00,D_05,5,detail,80,0.05555555555555555,7.4256426383239134e-06,6.0214633350159146e-05,0.02159005098369607,0.021548566712283026
2048,0,2016-01-13 00:45:00+00:00,D_06,6,detail,160,0.1111111111111111,5.530421643223677e-06,5.196538456492275e-05,0.016079697213315713,0.01604880082849752
2048,0,2016-01-13 00:45:00+00:00,D_07,7,detail,320,0.2222222222222222,2.386864955423363e-06,3.413885475547348e-05,0.006939808254820565,0.006926473738407665
2048,0,2016-01-13 00:45:00+00:00,D_08,8,detail,640,0.4444444444444444,1.876032941521843e-06,3.0266015755752563e-05,0.00545456451748831,0.0054440838273290175
2048,0,2016-01-13 00:45:00+00:00,D_09,9,detail,1280,0.8888888888888888,2.3131211121371799e-07,1.0627575772657339e-05,0.0006725398079994032,0.0006712475542686366
2048,0,2016-01-13 00:45:00+00:00,A_09,9,approximation,2560,1.7777777777777777,6.621333385490302e-07,1.798074787692085e-05,,0.0019214531473024108
2048,1,2016-01-14 00:45:00+00:00,D_01,1,detail,5,0.003472222222222222,0.00016963958727207387,0.000287805194050928,0.5117689288418974,0.5112766499064847
2048,1,2016-01-14 00:45:00+00:00,D_02,2,detail,10,0.006944444444444444,8.88898390757025e-05,0.00020833444683052984,0.2681629828286528,0.2679050324524885
2048,1,2016-01-14 00:45:00+00:00,D_03,3,detail,20,0.013888888888888888,3.8785565571872174e-05,0.0001376163669023082,0.11700834496495964,0.11689579271677196
2048,1,2016-01-14 00:45:00+00:00,D_04,4,detail,40,0.027777777777777776,1.844225939119336e-05,9.489472834860814e-05,0.05563663226153795,0.055583114471464926
2048,1,2016-01-14 00:45:00+00:00,D_05,5,detail,80,0.05555555555555555,7.744040116474952e-06,6.149202865512355e-05,0.02336223035582382,0.02333975784285892
2048,1,2016-01-14 00:45:00+00:00,D_06,6,detail,160,0.1111111111111111,4.811680927493483e-06,4.847116233264555e-05,0.014515885317752712,0.014501922249328518
2048,1,2016-01-14 00:45:00+00:00,D_07,7,detail,320,0.2222222222222222,1.8738335282738888e-06,3.024826899968798e-05,0.0056529834398543555,0.005647545742266941
2048,1,2016-01-14 00:45:00+00:00,D_08,8,detail,640,0.4444444444444444,7.928187450946828e-07,1.9675327897604733e-05,0.0023917766275400277,0.002389475938331297
2048,1,2016-01-14 00:45:00+00:00,D_09,9,detail,1280,0.8888888888888888,4.972933940976155e-07,1.5582651895191854e-05,0.0015002353619813598,0.0014987922609542303
2048,1,2016-01-14 00:45:00+00:00,A_09,9,approximation,2560,1.7777777777777777,3.19160095317742e-07,1.2483584833366824e-05,,0.0009619164190500955
2048,2,2016-01-15 00:45:00+00:00,D_01,1,detail,5,0.003472222222222222,0.0001779781425136141,0.0002947938091263547,0.5035314121846801,0.5031011437550886
2048,2,2016-01-15 00:45:00+00:00,D_02,2,detail,10,0.006944444444444444,9.469488882490071e-05,0.00021502962280586725,0.2679084657433494,0.2676795375135702
2048,2,2016-01-15 00:45:00+00:00,D_03,3,detail,20,0.013888888888888888,4.319520592989737e-05,0.00014522881651193645,0.12220682121022561,0.1221023952781485
2048,2,2016-01-15 00:45:00+00:00,D_04,4,detail,40,0.027777777777777776,2.1136796903078352e-05,0.00010159085398219284,0.05979970935393764,0.05974861040278759
2048,2,2016-01-15 00:45:00+00:00,D_05,5,detail,80,0.05555555555555555,8.193415639588061e-06,6.325101762238777e-05,0.023180611334351,0.023160803463393102
2048,2,2016-01-15 00:45:00+00:00,D_06,6,detail,160,0.1111111111111111,5.037548880568325e-06,4.959577264586169e-05,0.014252110208352656,0.014239931756464012
2048,2,2016-01-15 00:45:00+00:00,D_07,7,detail,320,0.2222222222222222,1.8787207338679155e-06,3.0287689055686356e-05,0.005315230796684981,0.005310688923124634
2048,2,2016-01-15 00:45:00+00:00,D_08,8,detail,640,0.4444444444444444,1.1270140335242301e-06,2.345847013461775e-05,0.0031885205668387017,0.003185795970708618
2048,2,2016-01-15 00:45:00+00:00,D_09,9,detail,1280,0.8888888888888888,2.181266545879062e-07,1.0320230402491075e-05,0.0006171186015797802,0.0006165912727078408
2048,2,2016-01-15 00:45:00+00:00,A_09,9,approximation,2560,1.7777777777777777,3.0229034623053524e-07,1.2149185492055775e-05,,0.0008545016640066955
2048,3,2016-01-18 00:50:00+00:00,D_01,1,detail,5,0.003472222222222222,0.00018449529191031443,0.00030014261902149654,0.49358909298781367,0.49321512852681554
2048,3,2016-01-18 00:50:00+00:00,D_02,2,detail,10,0.006944444444444444,9.406553150945323e-05,0.00021431387101013833,0.25165802280601135,0.25146735579535107
2048,3,2016-01-18 00:50:00+00:00,D_03,3,detail,20,0.013888888888888888,5.588262707508495e-05,0.00016518607387278845,0.14950546936003062,0.14939219754535768
2048,3,2016-01-18 00:50:00+00:00,D_04,4,detail,40,0.027777777777777776,2.20617026384368e-05,0.00010378976703617857,0.059022729969534206,0.05897801179461245
2048,3,2016-01-18 00:50:00+00:00,D_05,5,detail,80,0.05555555555555555,8.22319251587919e-06,6.336584822003203e-05,0.02199990088283695,0.021983232805700435
