series,component,k,component_type,scale_minutes,scale_days,energy,rms_volatility,annualized_rms_volatility,detail_energy_share,total_component_energy_share
final,D_01,1,detail,5,0.003472222222222222,0.031122547001427876,0.00020574314078631022,0.05542706466008414,0.5128464888450901,0.5126493888063244
final,D_02,2,detail,10,0.006944444444444444,0.015118124735782883,0.00014339590911562804,0.038630762105447115,0.24912090865547226,0.24902516511072478
final,D_03,3,detail,20,0.013888888888888888,0.0073901150375857375,0.00010025669849870966,0.027009087588811074,0.12177649049781383,0.12172968867403237
final,D_04,4,detail,40,0.027777777777777776,0.0035836086584441693,6.981489483701099e-05,0.01880808602210986,0.05905175812871733,0.059029063025856116
final,D_05,5,detail,80,0.05555555555555555,0.0017728733025422544,4.9105105631130224e-05,0.01322888264733838,0.02921392803533337,0.029202700374671736
final,D_06,6,detail,160,0.1111111111111111,0.0008555258401978607,3.4111778680287275e-05,0.00918969038460682,0.014097606575759652,0.014092188504537516
final,D_07,7,detail,320,0.2222222222222222,0.0004398670432463515,2.4459552748180778e-05,0.006589387167654058,0.007248258591342577,0.007245472899950686
final,D_08,8,detail,640,0.4444444444444444,0.00021300974706285402,1.7021096655604383e-05,0.004585472066335346,0.003510037300801683,0.003508688303581063
final,D_09,9,detail,1280,0.8888888888888888,0.0001117773341856303,1.233004533602277e-05,0.0033217059751766767,0.0018418998087442763,0.00184119191947994
final,D_10,10,detail,2560,1.7777777777777777,5.5087711141267147e-05,8.655958460403813e-06,0.002331909425734439,0.0009077515164814515,0.0009074026443277374
final,D_11,11,detail,5120,3.5555555555555554,2.3356303598184534e-05,5.636244901649307e-06,0.001518400610634463,0.0003848720444435133,0.0003847241282609331
final,A_11,11,approximation,10240,7.111111111111111,2.33321097574094e-05,5.633324967368798e-06,0.0015176139822902545,,0.0003843256082527319
shuffle,D_01,1,detail,5,0.003472222222222222,0.03029443764561527,0.00020298747770458478,0.05468469086706987,0.4992890162571206,0.4990088035707471
shuffle,D_02,2,detail,10,0.006944444444444444,0.0151923596860163,0.00014374753845960907,0.03872549081577366,0.2503884842157914,0.25024796033580493
shuffle,D_03,3,detail,20,0.013888888888888888,0.007603274386033256,0.00010169231436196796,0.027395841543162852,0.1253111687678072,0.12524084120583467
shuffle,D_04,4,detail,40,0.027777777777777776,0.003791660830486166,7.181291249347964e-05,0.01934635064378247,0.062491161848917884,0.06245609034570807
shuffle,D_05,5,detail,80,0.05555555555555555,0.001914910367559418,5.103428384804328e-05,0.013748601969989942,0.031560041642749725,0.03154232940842688
shuffle,D_06,6,detail,160,0.1111111111111111,0.0009724962850901661,3.6369034768382235e-05,0.00979779366654881,0.016027916384401063,0.01601892114244539
shuffle,D_07,7,detail,320,0.2222222222222222,0.00046825996435066584,2.523662726595454e-05,0.006798730523538201,0.0077174912334798665,0.0077131599967008
shuffle,D_08,8,detail,640,0.4444444444444444,0.0002362784658914951,1.7926680189050782e-05,0.004829435665178107,0.0038941552300041133,0.003891969738910528
shuffle,D_09,9,detail,1280,0.8888888888888888,0.00011853419292321111,1.2697248609501782e-05,0.00342063029170422,0.001953587033691902,0.001952490634906928
shuffle,D_10,10,detail,2560,1.7777777777777777,5.604816638372172e-05,8.73109078848054e-06,0.0023521500247184733,0.0009237416513256911,0.0009232232258823007
shuffle,D_11,11,detail,5120,3.5555555555555554,2.6893396189961868e-05,6.047983873737688e-06,0.0016293228146107414,0.0004432357347106103,0.00044298698043828316
shuffle,A_11,11,approximation,10240,7.111111111111111,3.407143842934955e-05,6.807427646152897e-06,0.0018339164594753134,,0.0005612234141941534
gaussian,D_01,1,detail,5,0.003472222222222222,0.03029911157258157,0.00020300313589348664,0.054688909172697975,0.49978261930338963,0.49956221495329
gaussian,D_02,2,detail,10,0.006944444444444444,0.01519688907771886,0.0001437689650319245,0.038731263120039224,0.25067207037840805,0.25056152388754194
gaussian,D_03,3,detail,20,0.013888888888888888,0.007613804534669986,0.00010176270934079806,0.027414805903425116,0.1255893976985403,0.12553401272013162
gaussian,D_04,4,detail,40,0.027777777777777776,0.0037703395339067124,7.1610718384734e-05,0.01929187968598285,0.06219159804092124,0.06216417151943281
gaussian,D_05,5,detail,80,0.05555555555555555,0.0018756769165124859,5.0508772767084154e-05,0.013607029635900977,0.030939214836576932,0.030925570629525164
gaussian,D_06,6,detail,160,0.1111111111111111,0.0009577044167519375,3.609138469802801e-05,0.009722994923107907,0.015797295599777435,0.01579032898562256
gaussian,D_07,7,detail,320,0.2222222222222222,0.00046001353700986995,2.5013421737980248e-05,0.006738599103437208,0.007587904678032145,0.007584558408805114
gaussian,D_08,8,detail,640,0.4444444444444444,0.00024498244799862017,1.8253883925772088e-05,0.004917584133228905,0.0040409755662573306,0.0040391934942943415
gaussian,D_09,9,detail,1280,0.8888888888888888,0.00011644709710587128,1.258496849926018e-05,0.0033903821050253434,0.0019207901546035285,0.0019199430853190998
gaussian,D_10,10,detail,2560,1.7777777777777777,5.937388678845012e-05,8.986395731367072e-06,0.0024209290057495263,0.000979369859946894,0.000978937957417371
gaussian,D_11,11,detail,5120,3.5555555555555554,3.0237351144808524e-05,6.412976836414589e-06,0.0017276516748850198,0.0004987638835464758,0.0004985439284592831
gaussian,A_11,11,approximation,10240,7.111111111111111,2.674726157631284e-05,6.031529579733071e-06,0.0016248900387998714,,0.00044100043016077764
